平台,帖子ID,发布时间,负责人,项目,一级品线,二级品线,主题,形式,优质,链接,标题,缺失项
tk,7643265402339986719,2026-05-24,何嘉怡,,彩胶,纯色,开箱;口播,视频,,https://www.tiktok.com/@nailzbyvesha/video/7643265402339986719,so worth the buy 😍😍 #fy #nailtok #beetlesgelpolish #fyp ,项目缺失
tk,7643285114054659358,2026-05-24,何嘉怡,,彩胶,纯色,开箱,视频,,https://www.tiktok.com/@nailzbyzaida/video/7643285114054659358,"Beetles is having their biggest sale of the year!! Such a great deal🤩💅🏼#BeetlesSummerDrop
#BeetlesSBD @BeetlesGelPolish ",项目缺失
tk,7643292150137900319,2026-05-24,周紫月,,彩胶,纯色,开箱;口播,视频,,https://www.tiktok.com/@mrs.manicure/video/7643292150137900319,"this nail kit is 🔥🔥🔥 
This set is called “Candy Electric” 
@BeetlesGelPolish 
#diynails #diynailkit #gelnailkit #nailsathome #beginnernailtech ",项目缺失
tk,7643320696193731847,2026-05-24,周紫月,,彩胶初学者套装,纯色,开箱,视频,,https://www.tiktok.com/@envyjamie/video/7643320696193731847,if this video does better than the last 2 I spent 30 minutes editing this is the last you’ll be seeing of me 🫪 #fyp #nailtech #relatable #funny #nail ,项目缺失
tk,7643325958392483102,2026-05-24,罗惠仪,,彩胶,纯色,开箱;刷色,视频,,https://www.tiktok.com/@bold.you/video/7643325958392483102,Obsessed is an understatement 😁 #beetles #nailart #nailtech #nailtechmusthave #gelpolish ,项目缺失
tk,7643434465905200397,2026-05-24,何嘉怡,,配件,透色,开箱,视频,,https://www.tiktok.com/@nailsbytracy07/video/7643434465905200397,"Thanks @beêtlesgelpolish again for giving me a chance to try out all products ❤️🫶🏻
Im obsessed 😍 
“Shop on Amazon & use my code TPTRACY10 for 10% off!” 
#Beetlesgelpolish 
#beetlesgelpolish #maniwithmom #nailsbytracy07 @BeetlesGelPolish @BeetlesGelPolish ",项目缺失
tk,7643455295603117326,2026-05-24,周紫月,,彩胶初学者套装,F13灯套装,开箱;成品展示,视频,,https://www.tiktok.com/@ladybuttercakes/video/7643455295603117326,"Fresh nail set Sunday by @Beetles Nail Boutique 💅 
#beetlesnails #beetlesgelpolish #nailtok #nailreveal #memorialday ",项目缺失
tk,7643466965969030420,2026-05-24,黄莉莎,,彩胶,特色胶,成品展示,视频,,https://www.tiktok.com/@nailsbya_design/video/7643466965969030420,"✨ Cat Eye Foil Nail Tutorial ✨

Step 1:
Apply Beetles Cat Eye Polish (Shade D473)

Step 2:
Use a magnetic wand to pull all magnetic particles to the center of the nail

Step 3:
Cure the nail for 30-60 seconds

Step 4:
Apply foil transfer gel
Cure for 30 seconds

Step 5:
Press foil onto the nail
Rip off quickly to transfer the design

Step 6:
Apply top coat & cure

💅 Use code: CLNAILSBYA for $$ off
🔗 Link in bio

#beetlesgelpolish #beetlesnailnook #beetlescateye #summernail @BeetlesGelPolish ",项目缺失
tk,7643475567773224222,2026-05-24,何嘉怡,,款式创作,拍拍胶套组,做款,视频,,https://www.tiktok.com/@j9yjay/video/7643475567773224222,"Patting gels by Beetles⭐️⭐️⭐️ 
Available on TikTok shop/ linked below 🤭🫶🏼
#xyzbca #gelxnails #apresnailofficial #influencer #collab ",项目缺失
fb,122170227842891071,2026-05-23,李伊芸,,构建美甲,捏捏胶,做款,视频,,https://www.facebook.com/reel/4404638686487951,"pink summer nails! 🌸☀️ did some seafoam and seashells with pink french tips ✨

are you wearing these for summer?

#summernails #summernailart #tropicalnails #vacationnails #3dflowernails",项目缺失
fb,122176302500901749,2026-05-23,黄莉莎,,彩胶,特色胶,做款,视频,,https://www.facebook.com/reel/2330791177447314,"Cat’s Eye Nails

Encuentra estos cat’s eye en mi lintree
@beetlesgelpolish 

#nails #nailsnailsnails #nailsbymairin #nailinspo #nailsofinstagram",项目缺失
fb,122295979496222740,2026-05-23,黄莉莎,,彩胶,纯色,成品展示,视频,,https://www.facebook.com/reel/1276194331164563,"Exploring Representation for Emerging Celebrity Nail Technician Opportunities

Are you an aspiring nail tech… ready to master your skills? let’s build our skills together with our 1:1 online & in person skill mastery courses, DM to enroll. (this is to learn the artistry, not to get licensed.)
a
Are you looking for a bomb nail tech… outstanding customer service skills, comfortable environment and Unique Long-lasting nails?🩷 Let’s Pamper ourselves with One-Of-A-Kind nails🚨
• ✨Luxury at your fingertips✨ 
Custom reusable handmade acrylic press-ons shipped straight to you✈️ , complete with our @caseys_beauty_studio deluxe prep kit for 3+ weeks of flawless wear. 💅. Order Inquiries: 📲 When you DM, send: Length, shape, and inspo pics 💕 via DM & the number in my bio
•💕your nail dreams awaits you!💖
Schedule your luxurious nail appointment at 5151 Monroe st. Toledo, Oh; Suite 232✨
Allow yourself a Self Care day and treat yourself here at @caseys_beauty_studio where a luxury experience awaits you! Schedule an appointment today by clicking the link in my bio! 

•ALL PRODUCTS USED IN THIS VIDEO LINKED IN MY AMAZON STOREFRONT (bio) 
#caseysbeautystudio #detroitnails #toledoohio #acrylicpressons #celebritynailtech toledonailtech toledoohionailsalon toledoohionailtech detroitnailtech detroitnails detroitgolf monroenailtech BirminghamDetroit northvillenails Bowlinggreennails grossepointe
 explorepage explore explorepagenails novinailtech nailsfyp rochesterhillsnails
419nailtech lucascounty  royaloaknails stClairshoresnails northwestohionails @beetlesgelpolish @utamusic @utaproductionarts @utapublishing @utafoundation utaspeakers @opusbeauty @theonly.agency @startouchagency",项目缺失
fb,122296082444222740,2026-05-23,黄莉莎,,彩胶,纯色,成品展示,视频,,https://www.facebook.com/reel/1782100816099515,"Exploring Representation for Emerging Celebrity Nail Technician Opportunities

Are you an aspiring nail tech… ready to master your skills? let’s build our skills together with our 1:1 online & in person skill mastery courses, DM to enroll. (this is to learn the artistry, not to get licensed.)
a
Are you looking for a bomb nail tech… outstanding customer service skills, comfortable environment and Unique Long-lasting nails?🩷 Let’s Pamper ourselves with One-Of-A-Kind nails🚨
• ✨Luxury at your fingertips✨ 
Custom reusable handmade acrylic press-ons shipped straight to you✈️ , complete with our @caseys_beauty_studio deluxe prep kit for 3+ weeks of flawless wear. 💅. Order Inquiries: 📲 When you DM, send: Length, shape, and inspo pics 💕 via DM & the number in my bio
•💕your nail dreams awaits you!💖
Schedule your luxurious nail appointment at 5151 Monroe st. Toledo, Oh; Suite 232✨
Allow yourself a Self Care day and treat yourself here at @caseys_beauty_studio where a luxury experience awaits you! Schedule an appointment today by clicking the link in my bio! 

•ALL PRODUCTS USED IN THIS VIDEO LINKED IN MY AMAZON STOREFRONT (bio) 
#caseysbeautystudio #detroitnails #toledoohio #acrylicpressons #celebritynailtech toledonailtech toledoohionailsalon toledoohionailtech detroitnailtech detroitnails detroitgolf monroenailtech BirminghamDetroit northvillenails Bowlinggreennails grossepointe
 explorepage explore explorepagenails novinailtech nailsfyp rochesterhillsnails
419nailtech lucascounty  royaloaknails stClairshoresnails northwestohionails @beetlesgelpolish @utamusic @utaproductionarts @utapublishing @utafoundation utaspeakers @opusbeauty @theonly.agency @startouchagency",项目缺失
fb,990111393960394,2026-05-23,林盈盈,,彩胶,混合套组,做款,视频,1,https://www.facebook.com/reel/1473401734159910,"🫧🌺 ribbed glass florals and a little extra shine with @beetlesgelpolish •ad

using Jelly Veil Gel Polish Set colors: ne474 • ne455 • ne465 • ne485 • this Beetles Deal Box collection is linked in bio and my amazon sf !! • use discount code ‘HEYGREATNAIL’ for 10% off 

#beetlesgelpolish #BeetlesDealBox #BeetlesNailChallenge #nailinspo #naildesign spring flower nails",项目缺失
ins,DYpZoCqBVEn,2026-05-23,黄莉莎,,彩胶,透色,刷色,视频,,https://www.instagram.com/p/DYpZoCqBVEn/,"✨ Whisper of Love Jelly Swatches ✨

Obsessed with how soft + dreamy these shades are 💗Which one is YOUR fave? 👇

💅 544💅 545💅 546💅 547💅 548💅 549

Use code CLNAILSBYA for $$ off 🛍️Link in bio 🔗

 #beetlesnailnook #beetlessummernails #beetlescateye beetlesgelpolish #summernail",项目缺失
ins,DYpkbCARG07,2026-05-23,林盈盈,,彩胶,混合套组,做款,视频,1,https://www.instagram.com/p/DYpkbCARG07/,"🫧🌺 ribbed glass florals and a little extra shine with @beetlesgelpolish •ad

using Jelly Veil Gel Polish Set colors: ne474 • ne455 • ne465 • ne485 • this Beetles Deal Box collection is linked in bio and my amazon sf !! • use discount code ‘HEYGREATNAIL’ for 10% off 

#beetlesgelpolish #BeetlesDealBox #BeetlesNailChallenge #nailinspo #naildesign spring flower nails",项目缺失
ins,DYpuK0LKBjr,2026-05-23,黄莉莎,,彩胶,纯色,成品展示,视频,,https://www.instagram.com/p/DYpuK0LKBjr/,"Exploring Representation for Emerging Celebrity Nail Technician Opportunities

Are you an aspiring nail tech… ready to master your skills? let’s build our skills together with our 1:1 online & in person skill mastery courses, DM to enroll. (this is to learn the artistry, not to get licensed.)
a
Are you looking for a bomb nail tech… outstanding customer service skills, comfortable environment and Unique Long-lasting nails?🩷 Let’s Pamper ourselves with One-Of-A-Kind nails🚨
• ✨Luxury at your fingertips✨ 
Custom reusable handmade acrylic press-ons shipped straight to you✈️ , complete with our @caseys_beauty_studio deluxe prep kit for 3+ weeks of flawless wear. 💅. Order Inquiries: 📲 When you DM, send: Length, shape, and inspo pics 💕 via DM & the number in my bio
•💕your nail dreams awaits you!💖
Schedule your luxurious nail appointment at 5151 Monroe st. Toledo, Oh; Suite 232✨
Allow yourself a Self Care day and treat yourself here at @caseys_beauty_studio where a luxury experience awaits you! Schedule an appointment today by clicking the link in my bio! 

•ALL PRODUCTS USED IN THIS VIDEO LINKED IN MY AMAZON STOREFRONT (bio) 
#caseysbeautystudio #detroitnails #toledoohio #acrylicpressons #celebritynailtech toledonailtech toledoohionailsalon toledoohionailtech detroitnailtech detroitnails detroitgolf monroenailtech BirminghamDetroit northvillenails Bowlinggreennails grossepointe
 explorepage explore explorepagenails novinailtech nailsfyp rochesterhillsnails
419nailtech lucascounty  royaloaknails stClairshoresnails northwestohionails @beetlesgelpolish @utamusic @utaproductionarts @utapublishing @utafoundation utaspeakers @opusbeauty @theonly.agency @startouchagency",项目缺失
ins,DYpvwnVSBh2,2026-05-23,李伊芸,,构建美甲,捏捏胶,做款,视频,,https://www.instagram.com/p/DYpvwnVSBh2/,"pink summer nails! 🌸☀️ did some seafoam and seashells with pink french tips ✨

are you wearing these for summer?

#summernails #summernailart #tropicalnails #vacationnails #3dflowernails",项目缺失
ins,DYqKpmiuc1F,2026-05-23,何嘉怡,,彩胶,混合套组,做款,视频,,https://www.instagram.com/p/DYqKpmiuc1F/,"Desi wedding nails unlocked🔓

✨Transition credit: @rahtitouillee 

#nails #desi #longnails #wedding beauty @youthtothepeople sunscreen movie on @tubi @apresnailofficial tips @beetlesgelpolish nails polishes",项目缺失
ins,DYqUFthNkvx,2026-05-23,黄嘉丽,,构建美甲,捏捏胶,做款;成品展示,视频,,https://www.instagram.com/p/DYqUFthNkvx/,"✨🌸 TGIF and rocking some cute nails for the weekend. Used @beetlesgelpolish builder gel to create these cute nail charms 😍

Would you wear this mani?!?

Use Code 👉🏼 BTANITAUS10 - Save 10% 🛒 
Link in bio

#summernails #gelpolish #beetlesgelpolish #3dart #nailinspo",项目缺失
ins,DYqcn1-BYw4,2026-05-23,黄莉莎,,彩胶,特色胶,做款,视频,,https://www.instagram.com/p/DYqcn1-BYw4/,"Cat’s Eye Nails

Encuentra estos cat’s eye en mi lintree
@beetlesgelpolish 

#nails #nailsnailsnails #nailsbymairin #nailinspo #nailsofinstagram",项目缺失
ins,DYr5oTUsxeW,2026-05-23,高咏欣,,彩胶,混合套组,做款;口播,视频,,https://www.instagram.com/p/DYr5oTUsxeW/,"this is EPISODE 1 of learning how to do my nails at home 💅
honestly I love how they turned out, they’re not perfect yet but I’m sure over time we’ll improve ✨ AND I love even more that I don’t have to waste 100 dollars every two weeks at the salon anymore! 
From now on every two weeks I’ll post a new episode of learning how to do my nails at home🤍 💅✨☺️ let me know what you think & of course drop me some advice and tips if you have!!🤍 

#nailsathome #gelnails #outfitinspiration",项目缺失
ins,DYrnyCtKaa6,2026-05-23,黄莉莎,,彩胶,纯色,成品展示,视频,,https://www.instagram.com/p/DYrnyCtKaa6/,"Exploring Representation for Emerging Celebrity Nail Technician Opportunities

Are you an aspiring nail tech… ready to master your skills? let’s build our skills together with our 1:1 online & in person skill mastery courses, DM to enroll. (this is to learn the artistry, not to get licensed.)
a
Are you looking for a bomb nail tech… outstanding customer service skills, comfortable environment and Unique Long-lasting nails?🩷 Let’s Pamper ourselves with One-Of-A-Kind nails🚨
• ✨Luxury at your fingertips✨ 
Custom reusable handmade acrylic press-ons shipped straight to you✈️ , complete with our @caseys_beauty_studio deluxe prep kit for 3+ weeks of flawless wear. 💅. Order Inquiries: 📲 When you DM, send: Length, shape, and inspo pics 💕 via DM & the number in my bio
•💕your nail dreams awaits you!💖
Schedule your luxurious nail appointment at 5151 Monroe st. Toledo, Oh; Suite 232✨
Allow yourself a Self Care day and treat yourself here at @caseys_beauty_studio where a luxury experience awaits you! Schedule an appointment today by clicking the link in my bio! 

•ALL PRODUCTS USED IN THIS VIDEO LINKED IN MY AMAZON STOREFRONT (bio) 
#caseysbeautystudio #detroitnails #toledoohio #acrylicpressons #celebritynailtech toledonailtech toledoohionailsalon toledoohionailtech detroitnailtech detroitnails detroitgolf monroenailtech BirminghamDetroit northvillenails Bowlinggreennails grossepointe
 explorepage explore explorepagenails novinailtech nailsfyp rochesterhillsnails
419nailtech lucascounty  royaloaknails stClairshoresnails northwestohionails @beetlesgelpolish @utamusic @utaproductionarts @utapublishing @utafoundation utaspeakers @opusbeauty @theonly.agency @startouchagency",项目缺失
ins,DYro4mZxQAo,2026-05-23,林盈盈,,彩胶初学者套装,四指灯套装,开箱,视频,,https://www.instagram.com/p/DYro4mZxQAo/,"*links in bio* @beetlesgelpolish | use my code: ELAETALNAIL for 10% off your Amazon Beetles purchase!
#beetlesgelpolish #beetlesdealbox #nails #diy #pressons",项目缺失
tk,7642511592575339789,2026-05-23,何嘉怡,,甲油胶,彩胶初学者套装,开箱;口播,视频,,https://www.tiktok.com/@lifeofdoujure/video/7642511592575339789,Almost everything that I have in my nail collection is from Beetles ❤️ ##nail##spam##nail##nailkit,项目缺失
tk,7642512257301105934,2026-05-23,何嘉怡,,彩胶,特色胶,开箱;口播,视频,,https://www.tiktok.com/@lifeofdoujure/video/7642512257301105934,Yess I can’t wait to use these colors! What design should I do? #nail #spam #fyp #beetles ,项目缺失
tk,7642751158481718559,2026-05-23,罗惠仪,,彩胶,特色胶,做款,视频,,https://www.tiktok.com/@cierraxnails/video/7642751158481718559,🩷🧡💛 #summernails #nailtech #nailtok #nailart #buildergel @BeetlesGelPolish ,项目缺失
tk,7642779598622706975,2026-05-23,罗惠仪,,穿戴甲,UV穿戴甲,开箱,视频,,https://www.tiktok.com/@amayaaspam00/video/7642779598622706975,#tiktokshop,项目缺失
tk,7642786856848968990,2026-05-23,林盈盈,,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@heygreatnails/video/7642786856848968990,"🫧🌺 ribbed glass florals and a little extra shine with @BeetlesGelPolish  •ad

using Jelly Veil Gel Polish Set colors: ne474 • ne455 • ne465 • ne485 • this Beetles Deal Box collection is linked in bio and my amazon sf !! • use discount code ‘HEYGREATNAIL’ for 10% off 

#beetlesgelpolish #BeetlesDealBox #BeetlesNailChallenge #nailinspo #naildesign spring flower nails",项目缺失
tk,7642794634409676045,2026-05-23,周紫月,,穿戴甲,混合套组,开箱;口播,视频,,https://www.tiktok.com/@avanacco/video/7642794634409676045,#nail ,项目缺失
tk,7642796703401217294,2026-05-23,罗惠仪,,彩胶,特色胶,开箱;刷色,视频,,https://www.tiktok.com/@nailsjka_/video/7642796703401217294,the cutest #nailsjka #beetlesgelpolish #beetlesstaylockshineduo #swatch #nails @BeetlesGelPolish ,项目缺失
tk,7642800942043155743,2026-05-23,高咏欣,,彩胶,混合套组,开箱,视频,,https://www.tiktok.com/@nailsbybecerra/video/7642800942043155743,"These mini gel bottles are so cute 😍 🩵Perfect nail kit for beginners or doing your nails at home ✨ You can find it through the link in my bio 💅
Use code BECERRA10 for 10% off (make sure to type it in ALL CAPS for it to work) #beetlesgelpolish #beetlesdealbox #gel #nailkitforbeginners #jellygel ",项目缺失
tk,7642803411104107796,2026-05-23,李伊芸,,构建美甲,捏捏胶,做款,视频,,https://www.tiktok.com/@bynicolemv/video/7642803411104107796,"pink summer nails! 🌸☀️ did some seafoam and seashells with pink french tips ✨

are you wearing these for summer?

#summernails #summernailart #tropicalnails #vacationnails #3dflowernails ",项目缺失
tk,7642804811900947742,2026-05-23,马明慧,,配件,美甲灯,做款,视频,,https://www.tiktok.com/@thatsneida4u/video/7642804811900947742,IG|| Glamsets.x.Neida✨products are from the @BeetlesGelPolish pro line collection! ,项目缺失
tk,7642807722047474974,2026-05-23,罗惠仪,,功能胶,橡胶底胶,开箱;刷色,视频,,https://www.tiktok.com/@bold.you/video/7642807722047474974,Obsessed!!! #beetles #rubberbase #nailtech #nailart #fyp ,项目缺失
tk,7642810732915985677,2026-05-23,黄嘉丽,,彩胶,20色猫眼彩胶,开箱;口播;刷色,视频,,https://www.tiktok.com/@loreleimzz/video/7642810732915985677,"@BeetlesGelPolish has the BEST KITS hands down😅💅🤍
#beetlesgelpolish #gelpolish #athomenails #gelxnails #nailkit ",项目缺失
tk,7642814112761662742,2026-05-23,黄莉莎,,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@mxs.nails/video/7642814112761662742,Using new “poetry of garden” from @BeetlesGelPolish 🤍🌷 #nails #nailart #nailtech #beetlesgelpolish #nailsoftheday ,项目缺失
tk,7642823798194015502,2026-05-23,罗惠仪,,彩胶,透色,开箱;刷色,视频,,https://www.tiktok.com/@setsthatimpress/video/7642823798194015502,"These cat eye gels do all the talking ✨ Trust me, you need these in your collection ASAP @BeetlesGelPolish #beetles #cateyegel #beetlesgelpolish #nailtechfinds #CapCut ",项目缺失
tk,7642844386073644302,2026-05-23,周紫月,,彩胶,彩胶初学者套装,做款;口播;教程,视频,,https://www.tiktok.com/@typicalvictoriaa/video/7642844386073644302,Super fun kit! Loved these gels 💙 #beetlesgelpolish #gel #gelnails #memorialday #4thofjuly ,项目缺失
tk,7642856251797409055,2026-05-23,何嘉怡,,彩胶,混合套组,做款,视频,,https://www.tiktok.com/@randa.rosa/video/7642856251797409055,"Desi wedding nails unlocked🔓

✨Transition credit @Tanvi Rati (IG: rahtitouillee) 

#nails #desi #longnails #wedding #beauty @Youth To The People sunscreen movie on @Tubi @Aprés Nail Professional tips @BeetlesGelPolish nails polishes ",项目缺失
tk,7642859805400501535,2026-05-23,周紫月,,穿戴甲,UV穿戴甲,开箱,视频,,https://www.tiktok.com/@wavyjayvy/video/7642859805400501535,"thank you so much @Beetles Nail Boutique for collaborating with me:)! i can’t wait to use these products! 

 #wavyjayvy #frenchtip #beetlesnails #freesample ",项目缺失
tk,7642889174592392455,2026-05-23,周紫月,,彩胶初学者套装,纯色,开箱,视频,,https://www.tiktok.com/@envyjamie/video/7642889174592392455,stunning colourssss @BeetlesGelPolish #beetles #fyp #nails #PR #nailtech ,项目缺失
tk,7642889327269268750,2026-05-23,周紫月,,彩胶,特色胶,开箱,视频,,https://www.tiktok.com/@brooklynshighlights/video/7642889327269268750,Beetles 6 Pack Summer Cat Eye Gel Kit🍋🫐💐🍉🌺🐬🪼☀️🌷 @BeetlesGelPolish @beetles_community #beetlesgelpolish #beetlesgelpolishkit #foryou #trendy #nailsathome💅 ,项目缺失
tk,7642899076807200014,2026-05-23,何嘉怡,,穿戴甲,UV穿戴甲,开箱;口播,视频,,https://www.tiktok.com/@beautytalkrubi/video/7642899076807200014,,项目缺失
tk,7642955517010201869,2026-05-23,周紫月,,穿戴甲,UV穿戴甲,开箱;成品展示,视频,,https://www.tiktok.com/@elidamazo87/video/7642955517010201869,So cute 🥰 #beetlenails #pressonnails #nails #frenchtipnails #iloveafrenchie ,项目缺失
tk,7643068809565195540,2026-05-23,林盈盈,,彩胶初学者套装,四指灯套装,开箱,视频,,https://www.tiktok.com/@elaetal_/video/7643068809565195540,"*links in bio* @BeetlesGelPolish | use my code: ELAETALNAIL for 10% off your Amazon Beetles purchase!
#beetlesgelpolish #beetlesdealbox #nails #diy #pressons ",项目缺失
tk,7643100183026208030,2026-05-23,林盈盈,,彩胶初学者套装,预构建甲片套组,做款,视频,,https://www.tiktok.com/@ca.nailedit/video/7643100183026208030,"this kit is the tipex lite apex nail tips kit almond medium, from beetles amazon store! make sure to use code “CANAILEDIT” on your next purchase for 10% off!! #fyp #blowthisup #domynailswithme #beetlesgelpolish #beetlesdealsbox @BeetlesGelPolish ",项目缺失
